1 ----> uni0001	
20474 ----> uni4FFA	俺
20477 ----> uni4FFD	俽
20478 ----> uni4FFE	俾
20480 ----> uni5000	倀
20485 ----> uni5005	倅
20486 ----> uni5006	倆
20487 ----> uni5007	倇
20489 ----> uni5009	倉
20491 ----> uni500B	個
20492 ----> uni500C	倌
20493 ----> uni500D	倍
20494 ----> uni500E	倎
20495 ----> uni500F	倏
20497 ----> uni5011	們
20498 ----> uni5012	倒
20499 ----> uni5013	倓
20500 ----> uni5014	倔
20501 ----> uni5015	倕
20502 ----> uni5016	倖
20503 ----> uni5017	倗
20504 ----> uni5018	倘
20505 ----> uni5019	候
20506 ----> uni501A	倚
20507 ----> uni501B	倛
20508 ----> uni501C	倜
20510 ----> uni501E	倞
20511 ----> uni501F	借
20512 ----> uni5020	倠
20513 ----> uni5021	倡
20514 ----> uni5022	倢
20515 ----> uni5023	倣
20517 ----> uni5025	倥
20518 ----> uni5026	倦
20519 ----> uni5027	倧
20520 ----> uni5028	倨
20521 ----> uni5029	倩
20522 ----> uni502A	倪
20523 ----> uni502B	倫
20524 ----> uni502C	倬
20525 ----> uni502D	倭
20526 ----> uni502E	倮
