21103 ----> uni526F	副
21106 ----> uni5272	割
21108 ----> uni5274	剴
21109 ----> uni5275	創
21117 ----> uni527D	剽
21119 ----> uni527F	剿
21121 ----> uni5281	劁
21122 ----> uni5282	劂
21123 ----> uni5283	劃
21127 ----> uni5287	劇
21128 ----> uni5288	劈
21129 ----> uni5289	劉
21130 ----> uni528A	劊
21132 ----> uni528C	劌
21133 ----> uni528D	劍
21136 ----> uni5290	劐
21137 ----> uni5291	劑
21139 ----> uni5293	劓
21147 ----> uni529B	力
21151 ----> uni529F	功
21152 ----> uni52A0	加
21155 ----> uni52A3	劣
21161 ----> uni52A9	助
21162 ----> uni52AA	努
21163 ----> uni52AB	劫
21164 ----> uni52AC	劬
21165 ----> uni52AD	劭
21182 ----> uni52BE	劾
