21164 ----> uni52AC	劬
21165 ----> uni52AD	劭
21166 ----> uni52AE	劮
21179 ----> uni52BB	劻
21180 ----> uni52BC	劼
21182 ----> uni52BE	劾
21184 ----> uni52C0	勀
21185 ----> uni52C1	勁
21186 ----> uni52C2	勂
21187 ----> uni52C3	勃
21191 ----> uni52C7	勇
21193 ----> uni52C9	勉
21197 ----> uni52CD	勍
21202 ----> uni52D2	勒
21203 ----> uni52D3	勓
21205 ----> uni52D5	動
21206 ----> uni52D6	勖
21207 ----> uni52D7	勗
21208 ----> uni52D8	勘
21209 ----> uni52D9	務
21211 ----> uni52DB	勛
21213 ----> uni52DD	勝
21214 ----> uni52DE	勞
21215 ----> uni52DF	募
21218 ----> uni52E2	勢
21219 ----> uni52E3	勣
21220 ----> uni52E4	勤
21222 ----> uni52E6	勦
21225 ----> uni52E9	勩
21227 ----> uni52EB	勫
21231 ----> uni52EF	勯
21232 ----> uni52F0	勰
21233 ----> uni52F1	勱
21235 ----> uni52F3	勳
21236 ----> uni52F4	勴
21237 ----> uni52F5	勵
21239 ----> uni52F7	勷
21240 ----> uni52F8	勸
21242 ----> uni52FA	勺
21243 ----> uni52FB	勻
21244 ----> uni52FC	勼
21246 ----> uni52FE	勾
21247 ----> uni52FF	勿
21253 ----> uni5305	包
21254 ----> uni5306	匆
21256 ----> uni5308	匈
21257 ----> uni5309	匉
21258 ----> uni530A	匊
21259 ----> uni530B	匋
21261 ----> uni530D	匍
21262 ----> uni530E	匎
21263 ----> uni530F	匏
21264 ----> uni5310	匐
21265 ----> uni5311	匑
21266 ----> uni5312	匒
21269 ----> uni5315	匕
21270 ----> uni5316	化
21271 ----> uni5317	北
21273 ----> uni5319	匙
21274 ----> uni531A	匚
21276 ----> uni531C	匜
21277 ----> uni531D	匝
21279 ----> uni531F	匟
21280 ----> uni5320	匠
21281 ----> uni5321	匡
21282 ----> uni5322	匢
21283 ----> uni5323	匣
21290 ----> uni532A	匪
21293 ----> uni532D	匭
21295 ----> uni532F	匯
21296 ----> uni5330	匰
21297 ----> uni5331	匱
21300 ----> uni5334	匴
21303 ----> uni5337	匷
21305 ----> uni5339	匹
21308 ----> uni533C	匼
21309 ----> uni533D	匽
21310 ----> uni533E	匾
21311 ----> uni533F	匿
21312 ----> uni5340	區
21313 ----> uni5341	十
21315 ----> uni5343	千
21316 ----> uni5344	卄
21317 ----> uni5345	卅
21319 ----> uni5347	升
21320 ----> uni5348	午
21321 ----> uni5349	卉
21322 ----> uni534A	半
21324 ----> uni534C	卌
21325 ----> uni534D	卍
21329 ----> uni5351	卑
21330 ----> uni5352	卒
